1	Jan	Kowalski	Z.o.o.	1123456785	13456789	+48661456789	5
2	Jan	Kowa_lski	Z.o.o.	2123456785	12456789	+48661456789	5
3	Jan	Kowalski	Z.o.o.	3123456785	12356789	+48661456789	5
4	Jan	Kowalski	Z.o.o.	4123456785	12346789	+48661456789	5
5	Jan	Kowalski	Z.o.o.	5123456785	12345789	+48661456789	5
6	Janek	Kos	Z.o	6123456785	1256789	+48512547712	10
7	Jan	GKowalski	Z.o.o.	7123456785	12345789	+48661456789	5
8	Janek	Kos	Z.o	8123456785	1256789	+4866149	10
9	Janek	Kos	Z.o	9123456785	1256789	+4866149	10
10	Czesio	Czesˆaw	brak	2147483647	0	+48561789123	15
11	Jas	tor	syfy	654789123	0	+48456789123	12
12	f	r	d	456789123	123456789	+48456789123	46
13	f	g	h	9876548512	0	+48798456123	5
14	Jan	Noowak	brak	9786543657	786543567	+48765456789	6
